type,value,confidence
domain,42.227.184.208:51145,high
domain,117.223.142.237:58903,high
domain,120.27.20.98:10086,high
domain,resistantmusic.shop,high
domain,115.49.129.196:50042,high
domain,119.183.26.220:54199,high
domain,220.201.110.179:54589,high
domain,196.251.84.79,high
domain,115.48.163.117:43297,high
domain,42.232.101.178:59426,high
domain,43.138.242.32:8888,high
domain,103.123.98.86:8082,high
domain,115.55.131.59:46581,high
domain,200.59.88.48:53399,high
domain,89.67.28.49:51493,high
domain,112.4.110.42:37780,high
domain,123.11.78.238:37276,high
domain,42.57.36.148:44606,high
domain,bot.networkbot.org,high
domain,115.49.241.203:53191,high
domain,42.227.236.28:60227,high
domain,222.141.184.144:38828,high
domain,60.18.68.201:52451,high
domain,41.146.14.204:8082,high
domain,201.143.173.169:8080,high
domain,117.198.200.169:50570,high
domain,42.224.2.80:40382,high
domain,109.169.196.244:35044,high
domain,222.140.217.248:39090,high
domain,112.237.177.193:48262,high
domain,14.227.19.102:8081,high
domain,115.55.144.32:40079,high
domain,117.204.164.159:35301,high
domain,201.143.20.87:8080,high
domain,89.7.53.185:54495,high
domain,185.186.26.162,high
domain,175.167.69.149:51783,high
domain,60.18.115.26:53023,high
domain,yorja.org,high
domain,38.162.114.77,high
domain,182.123.208.105:57473,high
domain,182.113.205.231:48894,high
domain,121.73.162.157:8082,high
domain,pusat-bantuan-dana-id.offiic.biz.id,high
domain,www.axhelp.top,high
domain,78.29.14.127:29050,high
domain,39.104.161.178,high
domain,59.97.183.195:49025,high
domain,123.4.254.166:38446,high
domain,produos.net,high
domain,123.14.81.65:46979,high
domain,42.85.218.85:36718,high
domain,85.206.188.166:8582,high
domain,78.171.123.45:53248,high
domain,47.102.87.217,high
domain,42.234.203.211:49073,high
domain,42.235.100.178:49584,high
domain,46.10.125.102:45108,high
domain,42.227.172.94:41442,high
domain,81.151.48.228:65004,high
domain,198.55.98.231,high
domain,87.121.84.50,high
domain,42.228.91.249:59752,high
domain,zalyzi63.ru,high
domain,113.237.99.184:37707,high
domain,175.169.249.146:48565,high
domain,123.190.90.73:58698,high
domain,95.139.104.116:57489,high
domain,103.209.184.118:9257,high
domain,97.130.251.48:8082,high
domain,123.9.118.6:55646,high
domain,37.114.42.142,high
domain,119.162.67.105:53445,high
domain,119.109.161.248:34258,high
domain,210.208.104.219:64995,high
domain,60.204.169.16:45678,high
domain,it.fobiweu2.ru,high
domain,222.134.175.110:45147,high
domain,213.209.143.140,high
domain,61.53.121.159:56300,high
domain,42.235.86.137:40097,high
domain,103.187.146.29,high
domain,64thservices.site,high
domain,117.255.78.234:39204,high
domain,47.92.192.154,high
domain,dxs.info,high
domain,41.216.189.108,high
domain,183.80.186.183,high
domain,171.226.237.80:1083,high
domain,112.116.103.220:52732,high
domain,walkin.college,high
domain,196.190.0.118:48069,high
domain,61.52.178.242:52228,high
domain,182.126.241.41:49792,high
domain,42.239.73.170:43899,high
domain,117.204.101.235:34838,high
domain,47.104.144.93:81,high
domain,113.221.56.106:55940,high
domain,domet.chanbaba.online,high
domain,109.200.169.210:8080,high
domain,182.126.125.138:43972,high
domain,123.9.194.90:50912,high
domain,91.80.171.227,high
domain,200.59.88.131:36556,high
domain,120.61.83.195:42300,high
domain,221.15.228.111:42314,high
domain,199.91.116.76:12582,high
domain,42.224.148.191:59643,high
domain,195.218.152.38:7093,high
domain,188.129.251.7:54999,high
domain,169.255.72.169,high
domain,60.23.157.129:56219,high
domain,try-dl-tourism-alexander.trycloudflare.com,high
domain,42.228.244.13:36609,high
domain,125.44.52.13:51435,high
domain,182.119.62.129:40071,high
domain,dentaria.be,high
domain,42.55.230.131:40734,high
domain,85.204.86.213:62303,high
domain,196.188.135.20:49195,high
domain,pt.textbin.net,high
domain,78.25.104.50:59589,high
domain,88.28.218.163,high
domain,222.138.138.230:36647,high
domain,117.212.77.243:40070,high
domain,41.246.160.133:8084,high
domain,42.53.126.116:47553,high
domain,gridnodeessentials.com,high
domain,119.117.187.195:48706,high
domain,89.67.24.139:36625,high
domain,91.80.147.128,high
domain,112.252.163.103:40378,high
domain,109.162.177.24:47380,high
domain,0be7953b6183453bc6ba182bf6b8ba79.loophole.site,high
domain,61.1.224.39:49192,high
domain,175.173.149.226:56987,high
domain,182.113.46.201:41878,high
domain,115.49.30.4:41628,high
domain,cold4.gofile.io,high
domain,221.203.225.62:36894,high
domain,115.56.101.29:57416,high
domain,182.127.116.12:58537,high
domain,42.52.29.13:46747,high
domain,678betcom.com,high
domain,117.200.155.2:34164,high
domain,221.13.240.141:8001,high
domain,5.54.49.222:19632,high
domain,60.18.48.170:60905,high
domain,115.55.58.100:48446,high
domain,fullemo.online:51400,high
domain,joker.kernaltpoiceplaned.com,high
domain,113.164.255.28:10004,high
domain,5.239.197.251:1962,high
domain,mijn-omgeving.almostmy.com,high
domain,116.139.233.253:39294,high
domain,110.18.10.80:3341,high
domain,5.89.112.21:23105,high
domain,202.191.123.196:27033,high
domain,115.55.194.55:41275,high
domain,42.178.94.130:34015,high
domain,42.7.238.171:56872,high
domain,42.233.105.21:59607,high
domain,196.251.80.60,high
domain,123.60.130.187:8065,high
domain,1.15.246.91:4848,high
domain,117.193.99.200:43272,high
domain,pub-85898ccf2bf04ae9bbc716993ae9553d.r2.dev,high
domain,aayzaexport.com,high
domain,92.17.153.220:42746,high
domain,2.35.160.247:50157,high
domain,27.211.24.235:35779,high
domain,45.74.10.192,high
